primary_type,location_description,f0_
KIDNAPPING,DRIVEWAY - RESIDENTIAL,13
NON - CRIMINAL,POLICE FACILITY/VEH PARKING LOT,13
BATTERY,CREDIT UNION,13
DECEPTIVE PRACTICE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,13
LIQUOR LAW VIOLATION,CTA GARAGE / OTHER PROPERTY,13
ASSAULT,AIRPORT VENDING ESTABLISHMENT,13
PUBLIC PEACE VIOLATION,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,13
DECEPTIVE PRACTICE,LAKEFRONT / WATERFRONT / RIVERBANK,13
CRIM SEXUAL ASSAULT,LAKEFRONT/WATERFRONT/RIVERBANK,13
CONCEALED CARRY LICENSE VIOLATION,PARKING LOT/GARAGE(NON.RESID.),13
STALKING,ATHLETIC CLUB,13
KIDNAPPING,HOTEL/MOTEL,13
PUBLIC PEACE VIOLATION,JAIL / LOCK-UP FACILITY,12
CRIM SEXUAL ASSAULT,GROCERY FOOD STORE,12
CRIM SEXUAL ASSAULT,WAREHOUSE,12
BURGLARY,BOWLING ALLEY,12
WEAPONS VIOLATION,FACTORY/MANUFACTURING BUILDING,12
CRIMINAL SEXUAL ASSAULT,SMALL RETAIL STORE,12
KIDNAPPING,TAXICAB,12
ASSAULT,BOAT/WATERCRAFT,12
WEAPONS VIOLATION,LIBRARY,12
STALKING,CTA BUS STOP,12
NARCOTICS,COIN OPERATED MACHINE,12
CRIM SEXUAL ASSAULT,FOREST PRESERVE,12
PUBLIC PEACE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,12
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE-GARAGE,12
PUBLIC INDECENCY,TAVERN/LIQUOR STORE,12
ASSAULT,NEWSSTAND,12
CRIMINAL SEXUAL ASSAULT,LAKEFRONT / WATERFRONT / RIVERBANK,12
INTIMIDATION,BARBERSHOP,12
DECEPTIVE PRACTICE,FOREST PRESERVE,12
CONCEALED CARRY LICENSE VIOLATION,AIRPORT EXTERIOR - SECURE AREA,12
KIDNAPPING,PARKING LOT / GARAGE (NON RESIDENTIAL),12
INTIMIDATION,VEHICLE NON-COMMERCIAL,12
WEAPONS VIOLATION,CLEANING STORE,12
OFFENSE INVOLVING CHILDREN,AIRPORT/AIRCRAFT,12
KIDNAPPING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,12
HOMICIDE,LIQUOR STORE,12
MOTOR VEHICLE THEFT,NURSING / RETIREMENT HOME,12
OFFENSE INVOLVING CHILDREN,CONVENIENCE STORE,12
PUBLIC PEACE VIOLATION,FIRE STATION,12
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,12
NARCOTICS,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,11
HOMICIDE,GARAGE/AUTO REPAIR,11
BURGLARY,VEHICLE - COMMERCIAL,11
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,11
PUBLIC INDECENCY,LIBRARY,11
SEX OFFENSE,RESIDENCE - GARAGE,11
ASSAULT,ATM (AUTOMATIC TELLER MACHINE),11
SEX OFFENSE,VEHICLE - OTHER RIDE SERVICE,11
DECEPTIVE PRACTICE,COLLEGE / UNIVERSITY - RESIDENCE HALL,11
CRIM SEXUAL ASSAULT,CONSTRUCTION SITE,11
CRIM SEXUAL ASSAULT,BOAT/WATERCRAFT,11
KIDNAPPING,COMMERCIAL / BUSINESS OFFICE,11
SEX OFFENSE,CAR WASH,11
OBSCENITY,ALLEY,11
INTERFERENCE WITH PUBLIC OFFICER,COMMERCIAL / BUSINESS OFFICE,11
HOMICIDE,CAR WASH,11
LIQUOR LAW VIOLATION,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,11
OTHER OFFENSE,FOREST PRESERVE,11
INTIMIDATION,"SCHOOL, PRIVATE, BUILDING",11
LIQUOR LAW VIOLATION,OTHER RAILROAD PROP / TRAIN DEPOT,11
PUBLIC PEACE VIOLATION,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,11
ARSON,SCHOOL - PUBLIC GROUNDS,11
OTHER OFFENSE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,11
MOTOR VEHICLE THEFT,MOVIE HOUSE / THEATER,11
PUBLIC INDECENCY,CTA TRAIN,11
MOTOR VEHICLE THEFT,RESIDENCE - PORCH / HALLWAY,11
PROSTITUTION,TAVERN/LIQUOR STORE,11
KIDNAPPING,GROCERY FOOD STORE,11
INTIMIDATION,FEDERAL BUILDING,11
NARCOTICS,AIRPORT EXTERIOR - NON-SECURE AREA,11
MOTOR VEHICLE THEFT,SPORTS ARENA / STADIUM,11
CRIMINAL TRESPASS,TAXICAB,11
MOTOR VEHICLE THEFT,LAKEFRONT/WATERFRONT/RIVERBANK,11
PUBLIC PEACE VIOLATION,CHA PARKING LOT / GROUNDS,11
OBSCENITY,SMALL RETAIL STORE,11
PUBLIC PEACE VIOLATION,PAWN SHOP,11
CRIMINAL SEXUAL ASSAULT,CTA STATION,11
BURGLARY,BOAT / WATERCRAFT,10
OFFENSE INVOLVING CHILDREN,VEHICLE-COMMERCIAL,10
OFFENSE INVOLVING CHILDREN,HIGHWAY/EXPRESSWAY,10
WEAPONS VIOLATION,BANK,10
LIQUOR LAW VIOLATION,CHA HALLWAY/STAIRWELL/ELEVATOR,10
LIQUOR LAW VIOLATION,HIGHWAY/EXPRESSWAY,10
OTHER OFFENSE,HIGHWAY / EXPRESSWAY,10
OFFENSE INVOLVING CHILDREN,JAIL / LOCK-UP FACILITY,10
BURGLARY,FEDERAL BUILDING,10
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,10
PUBLIC INDECENCY,DEPARTMENT STORE,10
ROBBERY,VEHICLE - DELIVERY TRUCK,10
INTIMIDATION,GOVERNMENT BUILDING / PROPERTY,10
LIQUOR LAW VIOLATION,VACANT LOT/LAND,10
ARSON,SCHOOL - PUBLIC BUILDING,10
WEAPONS VIOLATION,CEMETARY,10
BATTERY,NEWSSTAND,10
CRIMINAL SEXUAL ASSAULT,,10
CRIMINAL SEXUAL ASSAULT,VEHICLE - COMMERCIAL,10
PROSTITUTION,SMALL RETAIL STORE,10
OTHER NARCOTIC VIOLATION,ALLEY,10
LIQUOR LAW VIOLATION,"SCHOOL, PRIVATE, GROUNDS",10
GAMBLING,CONVENIENCE STORE,10
INTIMIDATION,HOTEL/MOTEL,10
LIQUOR LAW VIOLATION,MOVIE HOUSE/THEATER,10
GAMBLING,COMMERCIAL / BUSINESS OFFICE,10
SEX OFFENSE,CURRENCY EXCHANGE,10
CRIMINAL TRESPASS,VEHICLE - COMMERCIAL,10
DECEPTIVE PRACTICE,CEMETARY,10
WEAPONS VIOLATION,CURRENCY EXCHANGE,10
ROBBERY,ANIMAL HOSPITAL,10
STALKING,BARBERSHOP,10
CRIMINAL TRESPASS,MOVIE HOUSE / THEATER,10
CRIM SEXUAL ASSAULT,DEPARTMENT STORE,10
HUMAN TRAFFICKING,STREET,10
STALKING,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,10
STALKING,GOVERNMENT BUILDING/PROPERTY,10
INTIMIDATION,CONVENIENCE STORE,10
OBSCENITY,"SCHOOL, PRIVATE, BUILDING",10
KIDNAPPING,CTA PLATFORM,10
PUBLIC PEACE VIOLATION,CTA TRACKS - RIGHT OF WAY,10
WEAPONS VIOLATION,FEDERAL BUILDING,9
INTIMIDATION,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,9
PUBLIC PEACE VIOLATION,SCHOOL - PRIVATE GROUNDS,9
ROBBERY,OTHER RAILROAD PROPERTY / TRAIN DEPOT,9
INTIMIDATION,TAVERN/LIQUOR STORE,9
CRIMINAL SEXUAL ASSAULT,BOAT / WATERCRAFT,9
HOMICIDE,"CTA ""L"" TRAIN",9
CRIM SEXUAL ASSAULT,ATHLETIC CLUB,9
INTERFERENCE WITH PUBLIC OFFICER,VEHICLE-COMMERCIAL,9
INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT / GROUNDS,9
SEX OFFENSE,LAKEFRONT / WATERFRONT / RIVERBANK,9
OTHER OFFENSE,CEMETARY,9
OFFENSE INVOLVING CHILDREN,ATHLETIC CLUB,9
ARSON,FACTORY/MANUFACTURING BUILDING,9
CRIMINAL TRESPASS,CREDIT UNION,9
CONCEALED CARRY LICENSE VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL),9
PROSTITUTION,CTA GARAGE / OTHER PROPERTY,9
OFFENSE INVOLVING CHILDREN,CTA GARAGE / OTHER PROPERTY,9
KIDNAPPING,ABANDONED BUILDING,9
BURGLARY,FOREST PRESERVE,9
INTIMIDATION,DRUG STORE,9
MOTOR VEHICLE THEFT,AIRPORT EXTERIOR - SECURE AREA,9
INTIMIDATION,CTA BUS,9
OTHER OFFENSE,SPORTS ARENA / STADIUM,9
WEAPONS VIOLATION,SCHOOL - PRIVATE GROUNDS,9
CRIMINAL TRESPASS,SAVINGS AND LOAN,9
STALKING,SCHOOL - PUBLIC GROUNDS,9
CRIMINAL SEXUAL ASSAULT,POLICE FACILITY / VEHICLE PARKING LOT,9
PUBLIC PEACE VIOLATION,TAXICAB,9
CRIMINAL DAMAGE,AIRCRAFT,9
HOMICIDE,"CTA ""L"" PLATFORM",9
INTIMIDATION,DEPARTMENT STORE,9
OFFENSE INVOLVING CHILDREN,COLLEGE/UNIVERSITY GROUNDS,9
DECEPTIVE PRACTICE,AIRPORT TRANSPORTATION SYSTEM (ATS),9
HOMICIDE,CTA PROPERTY,9
CRIMINAL SEXUAL ASSAULT,COLLEGE / UNIVERSITY - RESIDENCE HALL,9
ARSON,CTA PLATFORM,9
CONCEALED CARRY LICENSE VIOLATION,GAS STATION,9
SEX OFFENSE,BANK,9
NARCOTICS,SAVINGS AND LOAN,9
INTERFERENCE WITH PUBLIC OFFICER,DEPARTMENT STORE,9
SEX OFFENSE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,9
OTHER OFFENSE,NEWSSTAND,9
HOMICIDE,CHA STAIRWELL,9
CRIMINAL TRESPASS,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,9
HOMICIDE,CHA LOBBY,9
OTHER OFFENSE,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,9
PROSTITUTION,POLICE FACILITY/VEH PARKING LOT,9
OFFENSE INVOLVING CHILDREN,CTA BUS STOP,9
CRIMINAL SEXUAL ASSAULT,OTHER RAILROAD PROPERTY / TRAIN DEPOT,9
CRIMINAL SEXUAL ASSAULT,CTA PLATFORM,9
LIQUOR LAW VIOLATION,"SCHOOL, PRIVATE, BUILDING",9
MOTOR VEHICLE THEFT,BARBERSHOP,9
HOMICIDE,TRUCK,9
LIQUOR LAW VIOLATION,SPORTS ARENA/STADIUM,9
STALKING,BANK,9
WEAPONS VIOLATION,CONSTRUCTION SITE,9
CRIMINAL TRESPASS,POOL ROOM,9
STALKING,COLLEGE/UNIVERSITY GROUNDS,9
CRIMINAL SEXUAL ASSAULT,CTA BUS STOP,8
ROBBERY,SCHOOL - PUBLIC BUILDING,8
INTIMIDATION,RESIDENCE-GARAGE,8
WEAPONS VIOLATION,FOREST PRESERVE,8
INTIMIDATION,CHA HALLWAY/STAIRWELL/ELEVATOR,8
OFFENSE INVOLVING CHILDREN,CTA STATION,8
INTIMIDATION,SCHOOL - PUBLIC BUILDING,8
NARCOTICS,FIRE STATION,8
NARCOTICS,BOAT/WATERCRAFT,8
CRIM SEXUAL ASSAULT,CTA BUS,8
OTHER OFFENSE,OTHER RAILROAD PROPERTY / TRAIN DEPOT,8
KIDNAPPING,BARBERSHOP,8
BURGLARY,BRIDGE,8
STALKING,LIBRARY,8
GAMBLING,"SCHOOL, PRIVATE, GROUNDS",8
PUBLIC INDECENCY,PARK PROPERTY,8
MOTOR VEHICLE THEFT,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",8
STALKING,MEDICAL / DENTAL OFFICE,8
STALKING,NURSING HOME/RETIREMENT HOME,8
OBSCENITY,"SCHOOL, PUBLIC, GROUNDS",8
CRIM SEXUAL ASSAULT,DELIVERY TRUCK,8
SEX OFFENSE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,8
OBSCENITY,RESIDENCE PORCH/HALLWAY,8
MOTOR VEHICLE THEFT,,8
INTIMIDATION,DRIVEWAY - RESIDENTIAL,8
OFFENSE INVOLVING CHILDREN,LAKEFRONT/WATERFRONT/RIVERBANK,8
WEAPONS VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,8
STALKING,RESIDENCE-GARAGE,8
LIQUOR LAW VIOLATION,LAKEFRONT/WATERFRONT/RIVERBANK,8
CRIM SEXUAL ASSAULT,CTA STATION,8
CRIMINAL DAMAGE,AIRPORT TRANSPORTATION SYSTEM (ATS),8
DECEPTIVE PRACTICE,BOAT/WATERCRAFT,8
PUBLIC PEACE VIOLATION,MEDICAL / DENTAL OFFICE,8
SEX OFFENSE,COLLEGE/UNIVERSITY RESIDENCE HALL,8
OFFENSE INVOLVING CHILDREN,MOVIE HOUSE/THEATER,8
CRIMINAL TRESPASS,COLLEGE / UNIVERSITY - RESIDENCE HALL,8
INTERFERENCE WITH PUBLIC OFFICER,RESIDENCE - PORCH / HALLWAY,8
BURGLARY,MOVIE HOUSE / THEATER,8
ASSAULT,MOVIE HOUSE / THEATER,8
PUBLIC PEACE VIOLATION,VEHICLE-COMMERCIAL,8
MOTOR VEHICLE THEFT,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",8
HOMICIDE,WAREHOUSE,8
OBSCENITY,OTHER (SPECIFY),8
STALKING,CTA TRAIN,8
ARSON,COLLEGE/UNIVERSITY GROUNDS,8
CRIMINAL TRESPASS,PAWN SHOP,8
MOTOR VEHICLE THEFT,MEDICAL/DENTAL OFFICE,8
CRIMINAL TRESPASS,AIRPORT VENDING ESTABLISHMENT,8
OFFENSE INVOLVING CHILDREN,OTHER RAILROAD PROP / TRAIN DEPOT,8
MOTOR VEHICLE THEFT,BOWLING ALLEY,8
ARSON,POLICE FACILITY/VEH PARKING LOT,8
NARCOTICS,AIRPORT EXTERIOR - SECURE AREA,7
CRIMINAL DAMAGE,KENNEL,7
LIQUOR LAW VIOLATION,COLLEGE/UNIVERSITY GROUNDS,7
STALKING,HOTEL/MOTEL,7
ROBBERY,AIRPORT VENDING ESTABLISHMENT,7
CRIM SEXUAL ASSAULT,MOVIE HOUSE/THEATER,7
ARSON,CAR WASH,7
NARCOTICS,TAVERN / LIQUOR STORE,7
HOMICIDE,WOODED AREA,7
OTHER OFFENSE,MOVIE HOUSE / THEATER,7
CRIMINAL DAMAGE,LAKEFRONT / WATERFRONT / RIVERBANK,7
HOMICIDE,MOTEL,7
CRIM SEXUAL ASSAULT,CAR WASH,7
STALKING,DAY CARE CENTER,7
MOTOR VEHICLE THEFT,CLEANING STORE,7
GAMBLING,DRIVEWAY - RESIDENTIAL,7
NARCOTICS,CHA HALLWAY / STAIRWELL / ELEVATOR,7
NARCOTICS,AIRCRAFT,7
CRIMINAL SEXUAL ASSAULT,CTA BUS,7
KIDNAPPING,LIBRARY,7
PROSTITUTION,"SCHOOL, PUBLIC, GROUNDS",7
OBSCENITY,PARK PROPERTY,7
OTHER OFFENSE,VEHICLE - DELIVERY TRUCK,7
INTERFERENCE WITH PUBLIC OFFICER,DRUG STORE,7
WEAPONS VIOLATION,LAKEFRONT/WATERFRONT/RIVERBANK,7
WEAPONS VIOLATION,GOVERNMENT BUILDING / PROPERTY,7
SEX OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT,7
ARSON,CURRENCY EXCHANGE,7
HOMICIDE,CTA BUS,7
INTIMIDATION,FACTORY/MANUFACTURING BUILDING,7
NARCOTICS,CEMETARY,7
ARSON,DRUG STORE,7
BURGLARY,DELIVERY TRUCK,7
KIDNAPPING,VACANT LOT/LAND,7
PUBLIC PEACE VIOLATION,VACANT LOT / LAND,7
OTHER NARCOTIC VIOLATION,PARKING LOT/GARAGE(NON.RESID.),7
OFFENSE INVOLVING CHILDREN,FACTORY/MANUFACTURING BUILDING,7
CRIM SEXUAL ASSAULT,OTHER COMMERCIAL TRANSPORTATION,7
ARSON,OTHER RAILROAD PROP / TRAIN DEPOT,7
OTHER NARCOTIC VIOLATION,APARTMENT,7
OTHER OFFENSE,COLLEGE / UNIVERSITY - RESIDENCE HALL,7
STALKING,CHA PARKING LOT/GROUNDS,7
OFFENSE INVOLVING CHILDREN,,7
LIQUOR LAW VIOLATION,CHA APARTMENT,7
DECEPTIVE PRACTICE,CHA PARKING LOT / GROUNDS,7
CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,7
NARCOTICS,DELIVERY TRUCK,7
MOTOR VEHICLE THEFT,SAVINGS AND LOAN,7
ARSON,CHA HALLWAY / STAIRWELL / ELEVATOR,7
CONCEALED CARRY LICENSE VIOLATION,BAR OR TAVERN,7
INTIMIDATION,JAIL / LOCK-UP FACILITY,7
PROSTITUTION,"SCHOOL, PUBLIC, BUILDING",7
ASSAULT,DELIVERY TRUCK,7
KIDNAPPING,CONVENIENCE STORE,7
INTIMIDATION,CONSTRUCTION SITE,7
MOTOR VEHICLE THEFT,LIBRARY,7
OTHER OFFENSE,BRIDGE,7
CRIMINAL SEXUAL ASSAULT,CTA PARKING LOT / GARAGE / OTHER PROPERTY,7
HUMAN TRAFFICKING,HOTEL/MOTEL,7
CRIMINAL SEXUAL ASSAULT,CHA HALLWAY / STAIRWELL / ELEVATOR,7
CRIM SEXUAL ASSAULT,LIBRARY,7
OFFENSE INVOLVING CHILDREN,POOL ROOM,7
PUBLIC PEACE VIOLATION,CTA PARKING LOT / GARAGE / OTHER PROPERTY,7
PUBLIC PEACE VIOLATION,AUTO / BOAT / RV DEALERSHIP,7
STALKING,CONVENIENCE STORE,7
HOMICIDE,DUMPSTER,7
INTIMIDATION,NURSING HOME/RETIREMENT HOME,7
KIDNAPPING,VEHICLE-COMMERCIAL,7
PROSTITUTION,BARBERSHOP,6
PUBLIC INDECENCY,SMALL RETAIL STORE,6
CRIMINAL DAMAGE,BOAT / WATERCRAFT,6
OTHER OFFENSE,CHA HALLWAY / STAIRWELL / ELEVATOR,6
KIDNAPPING,HOSPITAL BUILDING/GROUNDS,6
CRIMINAL TRESPASS,BOAT / WATERCRAFT,6
SEX OFFENSE,FACTORY / MANUFACTURING BUILDING,6
PUBLIC PEACE VIOLATION,APPLIANCE STORE,6
STALKING,CTA STATION,6
NARCOTICS,SCHOOL - PRIVATE BUILDING,6
WEAPONS VIOLATION,FACTORY / MANUFACTURING BUILDING,6
OFFENSE INVOLVING CHILDREN,CLEANING STORE,6
SEX OFFENSE,HIGHWAY/EXPRESSWAY,6
OTHER NARCOTIC VIOLATION,SMALL RETAIL STORE,6
HOMICIDE,TAXI CAB,6
CONCEALED CARRY LICENSE VIOLATION,RESIDENCE - YARD (FRONT / BACK),6
KIDNAPPING,CTA GARAGE / OTHER PROPERTY,6
NON-CRIMINAL,POLICE FACILITY / VEHICLE PARKING LOT,6
BURGLARY,POLICE FACILITY / VEHICLE PARKING LOT,6
GAMBLING,CAR WASH,6
OFFENSE INVOLVING CHILDREN,MEDICAL / DENTAL OFFICE,6
PROSTITUTION,RESIDENCE-GARAGE,6
WEAPONS VIOLATION,ATHLETIC CLUB,6
ASSAULT,BOAT / WATERCRAFT,6
KIDNAPPING,OTHER (SPECIFY),6
LIQUOR LAW VIOLATION,COLLEGE/UNIVERSITY RESIDENCE HALL,6
ROBBERY,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,6
DECEPTIVE PRACTICE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,6
OFFENSE INVOLVING CHILDREN,TAVERN/LIQUOR STORE,6
HOMICIDE,NURSING HOME,6
SEX OFFENSE,GOVERNMENT BUILDING / PROPERTY,6
PROSTITUTION,CAR WASH,6
PROSTITUTION,CHA APARTMENT,6
ROBBERY,AIRPORT EXTERIOR - NON-SECURE AREA,6
BURGLARY,TAXICAB,6
NON-CRIMINAL,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,6
WEAPONS VIOLATION,TAXICAB,6
STALKING,GOVERNMENT BUILDING / PROPERTY,6
KIDNAPPING,BAR OR TAVERN,6
PUBLIC INDECENCY,ALLEY,6
SEX OFFENSE,JAIL / LOCK-UP FACILITY,6
RITUALISM,STREET,6
HOMICIDE,CHURCH,6
WEAPONS VIOLATION,SCHOOL - PRIVATE BUILDING,6
CRIM SEXUAL ASSAULT,VEHICLE - OTHER RIDE SERVICE,6
STALKING,CURRENCY EXCHANGE,6
INTERFERENCE WITH PUBLIC OFFICER,SPORTS ARENA/STADIUM,6
WEAPONS VIOLATION,COLLEGE/UNIVERSITY GROUNDS,6
LIQUOR LAW VIOLATION,BOWLING ALLEY,6
WEAPONS VIOLATION,APPLIANCE STORE,6
INTERFERENCE WITH PUBLIC OFFICER,CONSTRUCTION SITE,6
ARSON,VEHICLE - COMMERCIAL,6
WEAPONS VIOLATION,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,6
KIDNAPPING,CTA BUS,6
ARSON,BANK,6
ARSON,TAVERN / LIQUOR STORE,6
ROBBERY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,6
BURGLARY,HOSPITAL BUILDING / GROUNDS,6
OTHER NARCOTIC VIOLATION,OTHER,6
ARSON,LIBRARY,6
ROBBERY,COLLEGE / UNIVERSITY - GROUNDS,6
ROBBERY,CREDIT UNION,6
INTIMIDATION,BANK,5
NARCOTICS,AIRPORT PARKING LOT,5
INTIMIDATION,MEDICAL/DENTAL OFFICE,5
SEX OFFENSE,BOAT/WATERCRAFT,5
PUBLIC PEACE VIOLATION,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,5
STALKING,CTA GARAGE / OTHER PROPERTY,5
MOTOR VEHICLE THEFT,CTA TRAIN,5
INTIMIDATION,WAREHOUSE,5
OFFENSE INVOLVING CHILDREN,SPORTS ARENA/STADIUM,5
PUBLIC INDECENCY,CTA PLATFORM,5
OFFENSE INVOLVING CHILDREN,BANK,5
PUBLIC PEACE VIOLATION,FACTORY / MANUFACTURING BUILDING,5
ARSON,"SCHOOL, PRIVATE, GROUNDS",5
OTHER OFFENSE,VEHICLE - OTHER RIDE SERVICE,5
LIQUOR LAW VIOLATION,POOL ROOM,5
ASSAULT,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,5
ASSAULT,AIRPORT TRANSPORTATION SYSTEM (ATS),5
ASSAULT,VEHICLE - DELIVERY TRUCK,5
NARCOTICS,ATM (AUTOMATIC TELLER MACHINE),5
SEX OFFENSE,POOL ROOM,5
STALKING,MEDICAL/DENTAL OFFICE,5
NARCOTICS,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",5
PUBLIC INDECENCY,PARKING LOT/GARAGE(NON.RESID.),5
PUBLIC PEACE VIOLATION,CEMETARY,5
OFFENSE INVOLVING CHILDREN,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,5
OBSCENITY,SCHOOL - PUBLIC GROUNDS,5
GAMBLING,OTHER RAILROAD PROP / TRAIN DEPOT,5
PUBLIC PEACE VIOLATION,AIRPORT PARKING LOT,5
MOTOR VEHICLE THEFT,CURRENCY EXCHANGE,5
OFFENSE INVOLVING CHILDREN,BAR OR TAVERN,5
SEX OFFENSE,CHA HALLWAY / STAIRWELL / ELEVATOR,5
INTERFERENCE WITH PUBLIC OFFICER,AIRPORT EXTERIOR - NON-SECURE AREA,5
STALKING,DRIVEWAY - RESIDENTIAL,5
SEX OFFENSE,,5
CRIM SEXUAL ASSAULT,JAIL / LOCK-UP FACILITY,5
WEAPONS VIOLATION,NURSING HOME/RETIREMENT HOME,5
LIQUOR LAW VIOLATION,FOREST PRESERVE,5
SEX OFFENSE,CONSTRUCTION SITE,5
ROBBERY,CEMETARY,5
INTERFERENCE WITH PUBLIC OFFICER,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,5
INTIMIDATION,HOTEL / MOTEL,5
ARSON,CTA STATION,5
KIDNAPPING,OTHER COMMERCIAL TRANSPORTATION,5
LIQUOR LAW VIOLATION,CTA BUS,5
INTERFERENCE WITH PUBLIC OFFICER,"SCHOOL, PRIVATE, GROUNDS",5
STALKING,AIRPORT/AIRCRAFT,5
CRIMINAL TRESPASS,VEHICLE - DELIVERY TRUCK,5
CRIMINAL SEXUAL ASSAULT,AUTO / BOAT / RV DEALERSHIP,5
GAMBLING,GOVERNMENT BUILDING/PROPERTY,5
WEAPONS VIOLATION,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,5
LIQUOR LAW VIOLATION,HOTEL / MOTEL,5
INTIMIDATION,RESIDENCE - PORCH / HALLWAY,5
ROBBERY,NURSING / RETIREMENT HOME,5
ARSON,MOVIE HOUSE/THEATER,5
OBSCENITY,CHA APARTMENT,5
CONCEALED CARRY LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,5
MOTOR VEHICLE THEFT,DELIVERY TRUCK,5
HOMICIDE,RIVER BANK,5
CRIMINAL TRESPASS,LAKEFRONT / WATERFRONT / RIVERBANK,5
BATTERY,VEHICLE - COMMERCIAL: TROLLEY BUS,5
WEAPONS VIOLATION,LAKEFRONT / WATERFRONT / RIVERBANK,5
PUBLIC INDECENCY,CTA BUS,5
ROBBERY,MEDICAL / DENTAL OFFICE,5
NARCOTICS,AUTO / BOAT / RV DEALERSHIP,5
INTERFERENCE WITH PUBLIC OFFICER,"SCHOOL, PRIVATE, BUILDING",5
CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,5
GAMBLING,CTA GARAGE / OTHER PROPERTY,5
CRIMINAL TRESPASS,JAIL / LOCK-UP FACILITY,5
CRIMINAL DAMAGE,FARM,5
WEAPONS VIOLATION,AIRPORT EXTERIOR - NON-SECURE AREA,5
OTHER OFFENSE,LAKEFRONT / WATERFRONT / RIVERBANK,5
STALKING,FACTORY/MANUFACTURING BUILDING,5
NARCOTICS,SCHOOL - PRIVATE GROUNDS,5
RITUALISM,RESIDENCE,5
STALKING,CHA HALLWAY/STAIRWELL/ELEVATOR,5
WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,5
OTHER NARCOTIC VIOLATION,BAR OR TAVERN,5
CRIMINAL SEXUAL ASSAULT,GOVERNMENT BUILDING / PROPERTY,5
CRIMINAL DAMAGE,COLLEGE / UNIVERSITY - RESIDENCE HALL,5
INTERFERENCE WITH PUBLIC OFFICER,LAKEFRONT/WATERFRONT/RIVERBANK,5
ARSON,CLEANING STORE,5
STALKING,"SCHOOL, PRIVATE, GROUNDS",5
KIDNAPPING,POLICE FACILITY / VEHICLE PARKING LOT,5
PUBLIC INDECENCY,COMMERCIAL / BUSINESS OFFICE,5
OTHER OFFENSE,BOAT/WATERCRAFT,5
MOTOR VEHICLE THEFT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,4
HOMICIDE,RIVER,4
ARSON,AUTO / BOAT / RV DEALERSHIP,4
SEX OFFENSE,COLLEGE / UNIVERSITY - RESIDENCE HALL,4
OFFENSE INVOLVING CHILDREN,RESIDENCE - GARAGE,4
ROBBERY,AIRPORT PARKING LOT,4
SEX OFFENSE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4
LIQUOR LAW VIOLATION,GOVERNMENT BUILDING/PROPERTY,4
MOTOR VEHICLE THEFT,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,4
OBSCENITY,RESTAURANT,4
LIQUOR LAW VIOLATION,CTA BUS STOP,4
